Field no,Field Name,Group,Condition,Status,Action,Allowed
,activation_protocol,Partnership Manager,,Draft,Edit,TRUE
3.2.4,agreement,Unicef Focal Point,unlocked,Draft,Edit,TRUE
,partner,Unicef Focal Point,unlocked,Draft,Edit,TRUE
,partner,*,,*,Required,TRUE
3.2.7,amendments,Partner User,,*,View,FALSE
3.2.7,amendments,*,user_adds_amendment,*,View,FALSE
3.2.7,amendments,*,,Draft,View,FALSE
3.2.8,amendments,Unicef Focal Point,not_in_amendment_mode,Approved,Edit,TRUE
3.2.9,amendments,Unicef Focal Point,not_in_amendment_mode,Active,Edit,TRUE
3.3.7,attachments,*,not_in_amendment_mode,*,View,TRUE
3.3.7,attachments,Unicef Focal Point,not_in_amendment_mode,Draft,Edit,TRUE
3.3.7,attachments,Partner User,not_in_amendment_mode,Draft,Edit,TRUE
3.3.7,attachments,Senior Management Team,not_in_amendment_mode,Draft,Edit,TRUE
3.3.2,attachments,Representative Office,not_in_amendment_mode,Draft,Edit,TRUE
3.3.7,attachments,Unicef Focal Point,not_in_amendment_mode,Review,Edit,TRUE
3.3.7,attachments,Senior Management Team,not_in_amendment_mode,Review,Edit,TRUE
3.3.2,attachments,Representative Office,not_in_amendment_mode,Review,Edit,TRUE
3.3.7,attachments,Unicef Focal Point,not_in_amendment_mode,pending_approval,Edit,TRUE
3.3.7,attachments,Senior Management Team,not_in_amendment_mode,pending_approval,Edit,TRUE
3.3.2,attachments,Representative Office,not_in_amendment_mode,pending_approval,Edit,TRUE
3.3.7,attachments,Unicef Focal Point,not_in_amendment_mode,Approved,Edit,TRUE
3.3.7,attachments,Senior Management Team,not_in_amendment_mode,Approved,Edit,TRUE
3.3.2,attachments,Representative Office,not_in_amendment_mode,Approved,Edit,TRUE
3.3.7,attachments,Unicef Focal Point,not_in_amendment_mode,Active,Edit,TRUE
3.3.7,attachments,Senior Management Team,not_in_amendment_mode,Active,Edit,TRUE
3.3.2,attachments,Representative Office,not_in_amendment_mode,Active,Edit,TRUE
3.3.7,attachments,Unicef Focal Point,not_in_amendment_mode,Ended,Edit,TRUE
3.3.7,attachments,Senior Management Team,not_in_amendment_mode,Ended,Edit,TRUE
3.3.2,attachments,Representative Office,not_in_amendment_mode,Ended,Edit,TRUE
3.3.7,attachments,Unicef Focal Point,not_in_amendment_mode,Suspended,Edit,TRUE
3.3.7,attachments,Senior Management Team,not_in_amendment_mode,Suspended,Edit,TRUE
3.3.2,attachments,Representative Office,not_in_amendment_mode,Suspended,Edit,TRUE
3.3.2,budget_owner,Unicef Focal Point,,Draft,Edit,TRUE
3.3.2,budget_owner,*,unicef_not_accepted,Draft,Required,FALSE
3.3.3,capacity_development,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
3.3.3,capacity_development,Partner User,partner_court,Draft,Edit,TRUE
3.3.3,cash_transfer_modalities,*,,*,View,TRUE
3.3.3,cash_transfer_modalities,Unicef Focal Point,unlocked,Draft,Edit,TRUE
3.3.5,context,Unicef Focal Point,unicef_court,Draft,Edit,TRUE
