Field no,Verbose Name,Field Name,Group,Condition,Status,Action,Allowed
2.2.1,Partner Name,partner,Partnership Manager,,Draft,Edit,TRUE
2.2.2,Agreement Type,agreement_type,Partnership Manager,,Draft,Edit,TRUE
2.2.3,Reference Number,agreement_number,UNICEF User,user adds amendment,Signed,Edit,TRUE
2.2.3,Reference Number,agreement_number,UNICEF User,,Draft,Edit,TRUE
2.2.12,CP Structure,country_programme,Partnership Manager,is type PCA or MOU or GTC,Draft,Edit,TRUE
2.2.4,Start Date,start,Partnership Manager,,Draft,Edit,TRUE
2.2.5,End Date,end,Partnership Manager,,Draft,Edit,TRUE
2.2.6,Signed By Partner,partner_manager,Partnership Manager,is type PCA or MOU or GTC,Draft,Edit,TRUE
2.2.7,Signed By Partner Date,signed_by_partner_date,Partnership Manager,is type PCA or MOU or GTC,Draft,Edit,TRUE
2.2.8,Signed By UNICEF,signed_by,Partnership Manager,is type PCA or MOU or GTC,Draft,Edit,TRUE
2.2.9,Signed By UNICEF Date,signed_by_unicef_date,Partnership Manager,is type PCA or MOU or GTC,Draft,Edit,TRUE
2.2.10,Signed Agreement (Attachment),attached_agreement,Partnership Manager,is type PCA or MOU or GTC,Draft,Edit,TRUE
2.2.11,Signed Agreement (Attachment),attachment,Partnership Manager,is type PCA or MOU or GTC,Draft,Edit,TRUE
2.3.1,Authorized Officer,authorized_officers,Partnership Manager,,Draft,Edit,TRUE
2.4,Amendments [array],amendments,Partnership Manager,is type PCA or MOU or GTC,Signed,Edit,TRUE
2.3.1,Authorized Officer,authorized_officers,Partnership Manager,user adds amendment,*,Edit,TRUE
2.3.1,Authorized Officer,authorized_officers,Partnership Manager,is type SSFA,Signed,Edit,TRUE
2.2.1,Partner Name,partner,UNICEF User,,*,Required,TRUE
2.2.2,Agreement Type,agreement_type,UNICEF User,,*,Required,TRUE
2.2.12,Agreement Number,agreement_number,UNICEF User,,*,Required,TRUE
2.2.4,Start Date,start,Partnership Manager,is type PCA or MOU or GTC,Signed,Required,TRUE
2.2.5,End Date,end,Partnership Manager,is type PCA or MOU or GTC,Signed,Required,TRUE
2.2.6,Signed By Partner,partner_manager,Partnership Manager,is type PCA or MOU or GTC,Signed,Required,TRUE
2.2.7,Signed By Partner Date,signed_by_partner_date,Partnership Manager,is type PCA or MOU or GTC,Signed,Required,TRUE
2.2.8,Signed By UNICEF,signed_by,UNICEF User,,*,Required,FALSE
2.2.9,Signed By UNICEF Date,signed_by_unicef_date,Partnership Manager,is type PCA or MOU or GTC,Signed,Required,TRUE
2.2.10,Signed Agreement (Attachment),attachment,Partnership Manager,is type PCA or MOU or GTC,Signed,Required,TRUE
2.3.1,Authorized Officer,authorized_officers,Partnership Manager,is type PCA or SSFA,Signed,Required,TRUE
2.2.8,Signed By UNICEF,signed_by,Partnership Manager,is type PCA or MOU or GTC,*,View,TRUE
3.7,r number,reference_number_year,UNICEF User,,*,View,TRUE
3.7,r number,reference_number_year,UNICEF User,,Draft,Edit,TRUE
3.7,r number,reference_number_year,UNICEF User,,*,Required,TRUE
3.11,r s,special_conditions_pca,UNICEF User,,*,View,TRUE
3.11,r s,special_conditions_pca,UNICEF User,,Draft,Edit,TRUE
3.11,r s,special_conditions_pca,UNICEF User,,*,Required,False
3.3.3,,termination_doc,Partnership Manager,termination_doc_attached,Active,Edit,TRUE
3.9.11,,termination_doc,UNICEF User,,Terminated,Required,True
