Field no,Verbose Name,Field Name,Group,Condition,Status,Action,Allowed
1.1.1,Partner Name,partner,UNICEF Audit Focal Point,,draft,Edit,TRUE
1.2.0,Focal Points,focal_points,*,,final,Edit,FALSE
1.2.1,Assessment Date,assessment_date,UNICEF Audit Focal Point,,draft,Edit,TRUE
1.2.2,Assessment Date,assessment_date,UNICEF Audit Focal Point,,assigned,Edit,TRUE
1.2.3,Assessment Date,assessment_date,UNICEF Audit Focal Point,,in_progress,Edit,TRUE
1.2.4,Assessment Date,assessment_date,UNICEF Audit Focal Point,,submitted,Edit,TRUE
1.2.3,Assessment Date,assessment_date,,user belongs,in_progress,Edit,TRUE
1.2.4,Assessment Date,assessment_date,,user belongs,submitted,Edit,TRUE
1.2.4,Assessment Date,assessment_date,,user belongs,rejected,Edit,TRUE
1.3.1,Assessor,assessor,UNICEF Audit Focal Point,,draft,Edit,TRUE
1.4.1,Answers,answers,,user belongs,in_progress,Edit,TRUE
1.4.2,Answers,answers,,user belongs,rejected,Edit,TRUE
1.1.2,Partner Name,partner,,,*,Required,TRUE
1.2.5,Assessment Date,assessment_date,,,draft,Required,FALSE
1.2.5,Assessment Date,assessment_date,,,assigned,Required,FALSE
1.2.5,Assessment Date,assessment_date,,,in_progress,Required,FALSE
1.3.2,Assessor,assessors,,,draft,Required,FALSE
1.4.2,Answers,answers,,,submitted,Required,TRUE
1.4.3,Answers,answers,,,final,Required,TRUE
1.4.4,Overall rating,overall_rating,,,submitted,Required,TRUE
1.4.5,Overall rating,overall_rating,,,final,Required,TRUE
1.5.0,Info Card,info_card,,,final,Edit,FALSE
